suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,mongo,10,100,1,2652,0,529.03,—,18.85,—,17.99,—,29.74,—,35.34,—,—,—
grpc,postgres,10,100,1,6426,0,1284.13,—,7.77,—,7.48,—,11.10,—,13.79,—,—,—
grpc,redis,10,100,1,5947,0,1187.63,—,8.40,—,7.96,—,12.80,—,19.33,—,—,—
rest,mongo,10,100,1,1653,0,327.37,—,30.27,—,27.48,—,58.10,—,62.71,—,—,—
rest,postgres,10,100,1,1794,0,355.67,—,27.92,—,45.02,—,54.00,—,57.52,—,—,—
rest,redis,10,100,1,1852,0,366.94,—,27.04,—,33.92,—,52.21,—,55.38,—,—,—
