timestamp,label,container,cpu_percent,mem_usage,mem_percent,net_io,block_io
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-grpc-postgres-1,0.05%,27.77MiB / 7.356GiB,0.37%,4.82MB / 4.65MB,127kB / 811kB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-grpc-redis-1,0.08%,27.82MiB / 7.356GiB,0.37%,3.48MB / 4.84MB,0B / 807kB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-grpc-mongo-1,0.11%,39.14MiB / 7.356GiB,0.52%,1.85MB / 2.6MB,549kB / 946kB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-rest-mongo-1,0.22%,70.7MiB / 7.356GiB,0.94%,2.99MB / 4.71MB,33.1MB / 0B
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-rest-postgres-1,31.16%,45.58MiB / 7.356GiB,0.61%,8.66MB / 9.28MB,5.17MB / 0B
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-rest-redis-1,0.11%,43.57MiB / 7.356GiB,0.58%,2.67MB / 4.28MB,1.97MB / 0B
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-grafana-1,0.11%,56.07MiB / 7.356GiB,0.74%,17.5kB / 3.91kB,127MB / 242kB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-postgres-1,12.51%,75.88MiB / 7.356GiB,1.01%,8.81MB / 10.9MB,34.5MB / 116MB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-prometheus-1,0.00%,42.8MiB / 7.356GiB,0.57%,3.49MB / 419kB,85.5MB / 7.5MB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-redis-1,3.53%,11.23MiB / 7.356GiB,0.15%,6.1MB / 4.16MB,11.7MB / 745kB
2026-07-17T21:17:30,rest-postgres_c10_p100_t1,infrastructure-mongo-1,1.16%,304.2MiB / 7.356GiB,4.04%,5.3MB / 3.7MB,232MB / 7.19MB
2026-07-17T21:17:32,rest-postgres_c10_p100_t1,infrastructure-grpc-postgres-1,0.05%,27.77MiB / 7.356GiB,0.37%,4.82MB / 4.65MB,127kB / 811kB
2026-07-17T21:17:32,rest-postgres_c10_p100_t1,infrastructure-grpc-redis-1,0.06%,27.82MiB / 7.356GiB,0.37%,3.48MB / 4.84MB,0B / 807kB
2026-07-17T21:17:32,rest-postgres_c10_p100_t1,infrastructure-grpc-mongo-1,0.46%,39.13MiB / 7.356GiB,0.52%,1.85MB / 2.6MB,549kB / 946kB
2026-07-17T21:17:32,rest-postgres_c10_p100_t1,infrastructure-rest-mongo-1,0.15%,70.7MiB / 7.356GiB,0.94%,2.99MB / 4.72MB,33.1MB / 0B
