suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,redis,50,10000,5,108893,0,1448.56,37.43,34.45,0.89,32.33,0.81,48.63,2.28,61.25,8.44,6.80,11.1
grpc,redis,100,10000,5,108471,0,1440.37,53.79,69.17,2.64,65.63,1.24,96.49,7.25,125.50,43.82,35.29,28.1
rest,redis,50,10000,5,23666,0,313.21,45.49,158.96,24.43,104.70,20.08,486.32,64.56,821.48,63.85,51.42,6.3
rest,redis,100,10000,5,19718,0,253.28,14.13,377.53,21.27,229.45,34.21,1253.17,184.28,2303.42,507.88,409.04,17.8
