backend,concurrency,payload_bytes,rest_trials,grpc_trials,rest_p99_ms,rest_p99_ci95,grpc_p99_ms,grpc_p99_ci95,grpc_improvement_pct,mannwhitney_p,ci_verdict,insufficient_trials
redis,50,10000,5,5,821.4793,63.8484,61.2523,8.4384,92.5437,0.0000,grpc faster (CIs disjoint),False
redis,100,10000,5,5,2303.4204,507.8841,125.5035,43.8168,94.5514,0.0000,grpc faster (CIs disjoint),False
