suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,mongo,10,100,1,3238,0,646.54,—,15.44,—,14.97,—,23.56,—,27.96,—,—,—
grpc,postgres,10,100,1,7253,0,1449.35,—,6.89,—,6.62,—,9.60,—,12.58,—,—,—
grpc,redis,10,100,1,7791,0,1556.50,—,6.42,—,6.22,—,9.05,—,13.94,—,—,—
rest,mongo,10,100,1,1714,0,340.06,—,29.23,—,30.72,—,56.99,—,60.54,—,—,—
rest,postgres,10,100,1,1871,0,371.05,—,26.76,—,43.67,—,53.02,—,56.81,—,—,—
rest,redis,10,100,1,1968,0,390.07,—,25.42,—,26.78,—,50.36,—,52.88,—,—,—
