suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,mongo,10,100,1,3228,0,644.38,—,15.48,—,15.21,—,23.10,—,26.89,—,—,—
grpc,postgres,10,100,1,6934,0,1385.11,—,7.21,—,6.76,—,11.03,—,16.07,—,—,—
grpc,redis,10,100,1,7686,0,1535.66,—,6.51,—,6.27,—,9.49,—,13.80,—,—,—
rest,mongo,10,100,1,1690,0,335.29,—,29.55,—,37.41,—,57.57,—,63.87,—,—,—
rest,postgres,10,100,1,1785,0,354.07,—,28.04,—,44.25,—,54.62,—,57.91,—,—,—
rest,redis,10,100,1,1886,0,373.71,—,26.61,—,43.42,—,51.85,—,55.61,—,—,—
