suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,mongo,10,100,5,44734,0,595.96,46.17,16.82,1.41,16.38,1.30,25.36,2.77,29.85,3.92,3.16,10.6
grpc,mongo,10,1000,5,41688,0,555.33,25.82,18.01,0.87,17.48,0.78,27.66,1.66,32.69,2.28,1.84,5.6
grpc,mongo,10,10000,5,37898,0,504.83,6.38,19.79,0.25,19.31,0.22,29.62,0.51,34.88,0.74,0.60,1.7
grpc,mongo,50,100,5,49275,0,654.39,39.24,76.23,4.85,73.73,1.67,110.52,29.17,126.38,36.58,29.46,23.3
grpc,mongo,50,1000,5,49362,0,655.48,8.56,75.94,0.96,74.79,0.95,100.97,1.45,114.58,1.12,0.90,0.8
grpc,mongo,50,10000,5,43554,0,578.16,4.51,86.04,0.66,84.32,0.91,115.00,1.46,130.83,3.29,2.65,2.0
grpc,mongo,100,100,5,50284,0,664.59,4.73,149.08,1.16,147.94,1.31,177.43,1.78,191.58,1.68,1.36,0.7
grpc,mongo,100,1000,5,48370,0,639.22,18.13,155.05,4.36,153.19,3.81,189.31,9.83,207.79,12.82,10.32,5.0
grpc,mongo,100,10000,5,45089,0,595.45,27.07,166.41,7.16,164.81,7.01,200.56,9.87,219.31,14.56,11.73,5.3
grpc,postgres,10,100,5,100221,0,1335.78,22.75,7.48,0.13,7.19,0.13,10.68,0.53,13.90,1.24,1.00,7.2
grpc,postgres,10,1000,5,96019,0,1279.84,110.96,7.84,0.68,7.54,0.53,11.19,1.55,14.14,2.76,2.22,15.7
grpc,postgres,10,10000,5,94373,0,1257.90,12.29,7.95,0.08,7.67,0.08,10.94,0.17,13.80,0.45,0.36,2.6
grpc,postgres,50,100,5,101291,0,1347.58,14.13,37.02,0.39,36.23,0.38,45.27,0.67,53.25,2.79,2.25,4.2
grpc,postgres,50,1000,5,91906,0,1222.70,110.02,40.95,3.60,39.85,3.91,50.47,4.07,59.83,5.76,4.64,7.7
grpc,postgres,50,10000,5,93223,0,1240.07,23.70,40.22,0.75,39.38,0.68,48.54,0.86,57.51,4.75,3.83,6.7
grpc,postgres,100,100,5,101724,0,1350.39,33.32,73.73,1.81,71.71,1.61,88.09,4.43,101.37,13.57,10.93,10.8
grpc,postgres,100,1000,5,102887,0,1365.59,22.61,72.90,1.23,71.67,0.97,85.97,2.84,94.14,4.39,3.53,3.8
grpc,postgres,100,10000,5,94579,0,1254.89,26.38,79.30,1.66,77.87,1.66,94.07,5.16,105.43,9.13,7.35,7.0
grpc,redis,10,100,5,108042,0,1440.08,66.11,6.95,0.31,6.73,0.26,9.82,0.62,13.18,1.17,0.94,7.1
grpc,redis,10,1000,5,104357,0,1390.90,63.73,7.19,0.33,6.99,0.31,10.22,0.51,13.48,1.50,1.21,9.0
grpc,redis,10,10000,5,87632,0,1167.91,359.67,9.08,3.33,8.44,2.28,15.03,9.02,21.88,19.48,15.69,71.7
grpc,redis,50,100,5,109662,0,1459.09,13.88,34.19,0.33,33.37,0.20,43.05,1.24,50.97,3.31,2.67,5.2
grpc,redis,50,1000,5,105726,0,1406.34,12.54,35.47,0.31,34.69,0.27,44.58,0.64,51.17,1.18,0.95,1.9
grpc,redis,50,10000,5,103664,0,1379.17,28.34,36.18,0.74,35.38,0.70,44.88,1.23,51.96,1.67,1.34,2.6
grpc,redis,100,100,5,108322,0,1438.12,77.52,69.35,3.93,68.37,3.67,84.74,6.47,93.51,8.85,7.13,7.6
grpc,redis,100,1000,5,102731,0,1363.23,79.41,73.14,4.33,71.78,4.16,90.63,6.69,101.87,10.60,8.53,8.4
grpc,redis,100,10000,5,97965,0,1299.49,87.19,76.75,5.09,75.34,4.99,95.94,9.26,106.96,12.36,9.95,9.3
rest,mongo,10,100,5,25728,0,342.06,3.48,29.15,0.31,24.33,3.18,56.27,0.27,60.97,0.66,0.53,0.9
rest,mongo,10,1000,5,25172,0,334.62,8.77,29.80,0.80,41.65,8.40,57.54,1.57,63.17,3.48,2.81,4.4
rest,mongo,10,10000,5,24816,0,329.84,2.83,30.21,0.24,38.99,8.35,57.83,0.64,62.61,0.79,0.64,1.0
rest,mongo,50,100,5,13266,0,174.32,40.65,285.20,54.12,178.50,38.98,890.88,153.44,1409.32,242.43,195.25,13.9
rest,mongo,50,1000,5,14157,0,185.80,34.75,266.65,53.28,161.63,38.92,857.39,136.62,1340.09,219.84,177.05,13.2
rest,mongo,50,10000,5,12709,0,166.28,26.40,294.60,46.15,164.97,24.79,963.73,151.59,1554.44,209.27,168.54,10.8
rest,mongo,100,100,5,15401,0,199.98,43.60,484.68,92.74,329.87,65.25,1499.97,285.99,2285.85,426.75,343.69,15.0
rest,mongo,100,1000,5,11731,0,151.73,22.31,628.32,85.66,427.45,54.39,1911.43,252.22,3029.50,427.02,343.91,11.4
rest,mongo,100,10000,5,14531,0,188.09,32.28,512.36,83.03,346.72,65.32,1563.56,223.84,2484.00,517.98,417.16,16.8
rest,postgres,10,100,5,26834,0,356.76,14.70,27.97,1.14,28.10,16.07,54.25,1.44,58.09,2.80,2.25,3.9
rest,postgres,10,1000,5,26548,0,352.91,5.58,28.25,0.45,36.90,8.12,54.51,0.53,58.00,0.67,0.54,0.9
rest,postgres,10,10000,5,25997,0,345.55,2.67,28.85,0.25,44.23,2.46,55.68,0.49,60.85,0.81,0.65,1.1
rest,postgres,50,100,5,15692,0,206.31,45.60,242.80,54.24,147.28,33.71,775.56,170.29,1236.22,301.66,242.95,19.7
rest,postgres,50,1000,5,15435,0,202.70,45.70,245.93,46.04,152.55,28.39,779.69,155.08,1247.06,226.29,182.25,14.6
rest,postgres,50,10000,5,15224,1,199.91,43.09,248.49,47.52,146.40,24.62,800.51,158.84,1262.85,295.35,237.87,18.8
rest,postgres,100,100,5,13958,0,179.35,45.40,545.05,137.44,364.93,104.04,1670.49,383.46,2511.86,451.08,363.29,14.5
rest,postgres,100,1000,5,17432,0,226.57,38.71,427.07,66.80,292.86,58.22,1313.78,177.68,1952.44,297.37,239.49,12.3
rest,postgres,100,10000,5,14903,0,193.09,41.61,504.95,112.73,338.65,81.85,1567.45,324.69,2448.30,481.16,387.51,15.8
rest,redis,10,100,5,28035,0,372.66,5.36,26.75,0.39,27.90,11.26,52.29,0.42,56.31,1.87,1.51,2.7
rest,redis,10,1000,5,27723,0,368.59,6.45,27.05,0.46,38.90,7.86,52.65,0.58,56.42,1.26,1.01,1.8
rest,redis,10,10000,5,27283,0,362.66,1.85,27.49,0.15,43.26,1.72,53.06,0.21,56.73,1.56,1.25,2.2
rest,redis,50,100,5,14799,0,194.10,44.87,256.08,48.80,158.81,32.29,814.18,163.85,1282.17,297.98,239.99,18.7
rest,redis,50,1000,5,15603,0,205.14,46.89,243.94,55.53,153.16,35.75,768.88,162.16,1213.85,258.14,207.89,17.1
rest,redis,50,10000,5,12570,1,164.78,17.72,295.79,31.78,173.82,25.46,963.84,86.13,1526.18,105.72,85.14,5.6
rest,redis,100,100,5,13996,0,181.42,52.65,545.54,146.34,366.92,108.56,1698.89,422.15,2705.17,822.82,662.68,24.5
rest,redis,100,1000,5,15552,0,201.95,59.78,493.36,155.26,330.38,95.45,1535.15,555.24,2614.57,1242.86,1000.96,38.3
rest,redis,100,10000,5,10760,0,137.39,33.90,698.39,147.12,482.31,116.19,2068.04,420.90,3248.11,656.74,528.92,16.3
