suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,mongo,10,100,1,2935,0,585.91,—,17.02,—,16.56,—,25.78,—,30.24,—,—,—
grpc,postgres,10,100,1,6868,0,1372.52,—,7.28,—,6.97,—,10.11,—,14.48,—,—,—
grpc,redis,10,100,1,7683,0,1534.94,—,6.51,—,6.46,—,8.59,—,10.72,—,—,—
rest,mongo,10,100,1,1709,0,339.19,—,29.32,—,44.43,—,56.79,—,60.58,—,—,—
rest,postgres,10,100,1,1840,0,364.57,—,27.17,—,30.65,—,52.98,—,54.90,—,—,—
rest,redis,10,100,1,1899,0,376.26,—,26.34,—,13.87,—,51.71,—,55.48,—,—,—
